Run #,Apogee Time (s),Launch Time (s),Burnout Time (s),Ground Hit Time (s),Max X Position (m),Max Altitude (m),Max Velocity Z (m/s),Landing X Pos (m),Landing Lon (deg),Landing Lat (deg),Thrust Scale Factor,Random Parameters
0,33.94024177,0,7.254,333.3348637,3.01E-06,5940.796444,432.4621125,-2917.232017,-81.83919576,47.9838368,1.026816339,"{'gross_weight': 16.85908840932519, 'diameter': 0.13138597889942957, 'launch_rod_length': 1.647667111793353, 'launch_temperature': 293.7414104975025, 'wind_direction': 1.0176711780213044, 'wind_speed_average': 3.2065649299963077, 'wind_turbulence_intensity': -4.769002785680368, 'launch_rod_angle': -0.19793071523579783, 'launch_rod_direction': 1.509956641236253, 'separation_delay_charge': 0.34574105574033104, 'wind_standard_deviation': 3.31367402820803}"
1,34.274,0,7.254,335.3364011,3818.043639,6025.654958,435.3871981,3818.043639,-81.74867511,48.00985307,3.231453772,"{'gross_weight': 7.181518697187571, 'diameter': 0.13049175663758839, 'launch_rod_length': 1.3525665669509317, 'launch_temperature': 294.2834155814691, 'wind_direction': -1.8487421377657367, 'wind_speed_average': 5.871265276080591, 'wind_turbulence_intensity': 1.4036248874936068, 'launch_rod_angle': -0.21355416293229074, 'launch_rod_direction': 1.5522504645674349, 'separation_delay_charge': 0.09570045763829152, 'wind_standard_deviation': 0.8751879612788652}"
2,34.184,0,7.254,334.4006059,1905.178187,5992.497166,434.7453603,1905.178187,-81.77441241,47.96311771,0.392372047,"{'gross_weight': 16.93990256585379, 'diameter': 0.1300551525119253, 'launch_rod_length': 1.7906408696270693, 'launch_temperature': 291.3999793138209, 'wind_direction': 5.8452618755300865, 'wind_speed_average': 7.872414867647654, 'wind_turbulence_intensity': -3.0960673717864853, 'launch_rod_angle': -0.18188171310284118, 'launch_rod_direction': 1.5216089421955674, 'separation_delay_charge': 0.08008231900508632, 'wind_standard_deviation': -1.173353966852277}"
3,28.95085562,0,7.254,239.8465781,2172.620575,3800.259932,322.1565934,-233.7003194,-81.80314106,48.00145012,1.885018304,"{'gross_weight': 21.443897510248974, 'diameter': 0.13049984559798153, 'launch_rod_length': 1.610707454053173, 'launch_temperature': 280.3953033680599, 'wind_direction': 2.155327591486991, 'wind_speed_average': 14.013390659766173, 'wind_turbulence_intensity': -1.743195013137075, 'launch_rod_angle': -0.1741055083220639, 'launch_rod_direction': 1.507658533890987, 'separation_delay_charge': -0.11326949625711967, 'wind_standard_deviation': -2.5381673619081835}"
4,33.06447211,0,7.254,324.8340047,3.31E-06,5637.73304,419.8862839,-2681.85903,-81.83603197,47.9819232,-1.149869177,"{'gross_weight': 8.304466468144613, 'diameter': 0.13042620188655366, 'launch_rod_length': 1.948819109017558, 'launch_temperature': 283.5433675651084, 'wind_direction': 0.9263345421558581, 'wind_speed_average': 1.3303460912905765, 'wind_turbulence_intensity': -0.2823853412651332, 'launch_rod_angle': -0.23415637478236545, 'launch_rod_direction': 1.5457178066813357, 'separation_delay_charge': 0.07945329778048096, 'wind_standard_deviation': 3.762884648137137}"
5,34.43532813,0,7.254,336.4579651,1.34E-06,6073.205468,436.6062295,-1596.966172,-81.82147823,48.03544869,-0.875142239,"{'gross_weight': 6.537895820386873, 'diameter': 0.13093440720224003, 'launch_rod_length': 1.721128005316624, 'launch_temperature': 296.9151506895811, 'wind_direction': 2.758495910978917, 'wind_speed_average': 6.636410486940112, 'wind_turbulence_intensity': -8.927370317752713, 'launch_rod_angle': -0.2001814144563687, 'launch_rod_direction': 1.5761527835484679, 'separation_delay_charge': -0.1927176260737864, 'wind_standard_deviation': -1.2018442515605543}"
6,33.7880625,0,7.254,328.7618108,2.69E-06,5873.099147,429.7916267,-2376.396023,-81.83195346,48.02314499,0.243983185,"{'gross_weight': 15.89911760755681, 'diameter': 0.129908563019625, 'launch_rod_length': 1.835923522462541, 'launch_temperature': 294.1507463546764, 'wind_direction': 2.398389598034071, 'wind_speed_average': 3.2680453026423524, 'wind_turbulence_intensity': -3.9740008156688784, 'launch_rod_angle': -0.22392490029184262, 'launch_rod_direction': 1.5665440500425205, 'separation_delay_charge': 0.3918578170357226, 'wind_standard_deviation': -2.036818331663499}"
7,33.17862925,0,7.254,348.5061639,1.34E-06,5985.117055,439.733921,-1280.353316,-81.81721835,48.03058041,-0.191969852,"{'gross_weight': 24.622291206228965, 'diameter': 0.1305169786475117, 'launch_rod_length': 1.9811740676104128, 'launch_temperature': 296.0590509979173, 'wind_direction': 2.7836495613277803, 'wind_speed_average': 8.021202732330877, 'wind_turbulence_intensity': -4.6098335826236925, 'launch_rod_angle': -0.21482950368401885, 'launch_rod_direction': 1.6343987833760705, 'separation_delay_charge': -0.1835440958112335, 'wind_standard_deviation': 9.963912792077133}"
8,34.1297071,0,7.254,353.0914823,3.67E-06,6069.347637,440.3418708,-831.2623505,-81.81117135,47.99563531,-0.632244479,"{'gross_weight': 28.91943303095183, 'diameter': 0.1303606908363787, 'launch_rod_length': 1.8516096512611988, 'launch_temperature': 293.6527737621855, 'wind_direction': 1.0365401380987056, 'wind_speed_average': 2.2742735671856265, 'wind_turbulence_intensity': -0.07414703662600629, 'launch_rod_angle': -0.2420331289044807, 'launch_rod_direction': 1.546216748713091, 'separation_delay_charge': -0.4801680130479619, 'wind_standard_deviation': 9.591075124776568}"
9,33.834,0,7.254,328.0759247,3.01E-06,5890.918101,429.5681881,-2337.908554,-81.83142898,48.01171209,-0.845678419,"{'gross_weight': 13.763334733817741, 'diameter': 0.13033736238624077, 'launch_rod_length': 1.9176230976198279, 'launch_temperature': 299.1598579419386, 'wind_direction': 2.082211928688737, 'wind_speed_average': -0.09727207381050818, 'wind_turbulence_intensity': 3.2693407916336166, 'launch_rod_angle': -0.19284650997077213, 'launch_rod_direction': 1.4639927151022911, 'separation_delay_charge': -0.48346825214197375, 'wind_standard_deviation': -1.6025106497492678}"
10,33.90532813,0,7.254,334.5487494,1.24E-06,5895.416154,430.5434249,-1117.183199,-81.81500727,47.97304892,4.101928369,"{'gross_weight': 16.282051387827607, 'diameter': 0.1309111727700141, 'launch_rod_length': 1.722021936752844, 'launch_temperature': 275.0815149644903, 'wind_direction': 0.3523830345871253, 'wind_speed_average': 2.893251032778001, 'wind_turbulence_intensity': -2.853264572642902, 'launch_rod_angle': -0.20152573465567425, 'launch_rod_direction': 1.5961568895109877, 'separation_delay_charge': -0.5257738248959033, 'wind_standard_deviation': 0.6422440147238201}"
11,34.1780625,0,7.254,332.2048105,1640.289974,5992.024585,433.1768322,1640.289974,-81.77793674,48.04093869,-2.938348622,"{'gross_weight': 16.48938009695486, 'diameter': 0.13071258491731894, 'launch_rod_length': 1.7086563308468843, 'launch_temperature': 299.5603040250294, 'wind_direction': 3.4888344795736774, 'wind_speed_average': 7.490509936552137, 'wind_turbulence_intensity': 1.1760840800099663, 'launch_rod_angle': -0.22002459633429264, 'launch_rod_direction': 1.6217518966200317, 'separation_delay_charge': -0.15311845365522608, 'wind_standard_deviation': -6.272871227327705}"
12,34.0080625,0,7.254,330.4163916,2.86E-06,5946.966455,432.5558623,-2379.243418,-81.83196857,47.98576228,1.239015841,"{'gross_weight': 13.336967836461557, 'diameter': 0.12994624965596546, 'launch_rod_length': 2.1371240518061723, 'launch_temperature': 299.64040718741086, 'wind_direction': 0.9821572511495349, 'wind_speed_average': 1.5889286381734102, 'wind_turbulence_intensity': 3.9677511982635663, 'launch_rod_angle': -0.19250595106114204, 'launch_rod_direction': 1.5945415192287224, 'separation_delay_charge': 0.5983744486003902, 'wind_standard_deviation': -3.6372539996768705}"
13,33.774,0,7.254,326.8271249,1049.705377,5863.017194,427.9745781,1049.705377,-81.78588051,48.04126557,1.925165994,"{'gross_weight': 15.1665096254649, 'diameter': 0.13139121894871544, 'launch_rod_length': 1.911126023530661, 'launch_temperature': 297.5909646661738, 'wind_direction': 3.367709391147781, 'wind_speed_average': 6.101012528487992, 'wind_turbulence_intensity': -4.432535441897582, 'launch_rod_angle': -0.26110270193049734, 'launch_rod_direction': 1.5267996004821036, 'separation_delay_charge': -0.32374298727594275, 'wind_standard_deviation': -8.257266393265999}"
