Run #,Apogee Time (s),Launch Time (s),Burnout Time (s),Ground Hit Time (s),Max X Position (m),Max Altitude (m),Max Velocity Z (m/s),Landing X Pos (m),Landing Lon (deg),Landing Lat (deg),Thrust Scale Factor,Random Parameters
0,46.006,0,4.3,493.1571205,8.53E-07,11975.60281,696.0941703,-1942.749591,-81.82607365,47.92637613,-0.221687641,"{'gross_weight': 49182.783289708226, 'diameter': 0.13041909818919412, 'launch_rod_length': 2.270702611420804, 'launch_temperature': 292.62012106577396, 'wind_direction': 0.2281760140555149, 'wind_speed_average': 9.35154627980949, 'wind_turbulence_intensity': -6.022236157162534, 'launch_rod_angle': -0.21375036974612455, 'launch_rod_direction': 1.573097228103704, 'separation_delay_charge': 0.3340886795063804, 'wind_standard_deviation': -4.3661676732038135}"
1,44.30561033,0,4.3,494.8828936,3.37E-06,11207.86921,667.2099356,-5390.788901,-81.8724815,48.02026577,5.928534966,"{'gross_weight': 49176.39395827338, 'diameter': 0.13077050098577875, 'launch_rod_length': 2.009538249097816, 'launch_temperature': 274.1928020024648, 'wind_direction': 1.9705271736943317, 'wind_speed_average': 0.5889565314602834, 'wind_turbulence_intensity': 5.076827260682422, 'launch_rod_angle': -0.2069883199471852, 'launch_rod_direction': 1.53521815268027, 'separation_delay_charge': -0.009043219264902433, 'wind_standard_deviation': 12.055265347397924}"
2,44.056,0,4.3,468.9125909,3.54E-06,11101.20752,666.598483,-13367.02379,-81.97963113,47.99315312,0.304983395,"{'gross_weight': 49166.725190716614, 'diameter': 0.13033527947338108, 'launch_rod_length': 1.749216593684234, 'launch_temperature': 293.6680518147166, 'wind_direction': 1.516214683934933, 'wind_speed_average': 16.332349826436605, 'wind_turbulence_intensity': -3.958153547453391, 'launch_rod_angle': -0.19975748101695087, 'launch_rod_direction': 1.6245060959426514, 'separation_delay_charge': -0.16888625125674156, 'wind_standard_deviation': -2.1028117823547734}"
3,44.915,0,4.3,480.4838346,1695.19244,11513.95589,679.0057617,1695.19244,-81.77723687,47.95351219,-1.509987977,"{'gross_weight': 49170.393649068414, 'diameter': 0.13073811683623165, 'launch_rod_length': 1.6178758754236784, 'launch_temperature': 292.1516003675886, 'wind_direction': -0.3237346840776083, 'wind_speed_average': 0.047179589767446295, 'wind_turbulence_intensity': -1.2700110126656585, 'launch_rod_angle': -0.216784846240212, 'launch_rod_direction': 1.4589524626119275, 'separation_delay_charge': 0.06514933074748196, 'wind_standard_deviation': -0.23481944014041553}"
4,44.87632813,0,4.3,479.897806,4.23E-06,11495.12713,679.3226248,-6792.934984,-81.8913276,48.01666718,1.460805483,"{'gross_weight': 49177.02624144955, 'diameter': 0.1305685962122505, 'launch_rod_length': 2.3386291666647416, 'launch_temperature': 294.184391602091, 'wind_direction': 1.8404065738938349, 'wind_speed_average': 3.6215388609158214, 'wind_turbulence_intensity': -3.654357572278645, 'launch_rod_angle': -0.2515841509254025, 'launch_rod_direction': 1.5927360807270456, 'separation_delay_charge': -0.012446142730577259, 'wind_standard_deviation': -7.519342898926082}"
5,45.20632813,0,4.3,484.1873145,3537.815017,11655.70418,685.2522292,3537.815017,-81.75242284,48.03077863,-0.772406823,"{'gross_weight': 49171.29554775028, 'diameter': 0.1304865626383959, 'launch_rod_length': 1.688040354299252, 'launch_temperature': 294.5478566028968, 'wind_direction': 3.9475842013111784, 'wind_speed_average': -1.3290897554669954, 'wind_turbulence_intensity': 0.806222723328362, 'launch_rod_angle': -0.19363800145411114, 'launch_rod_direction': 1.488630294670616, 'separation_delay_charge': -0.23031928601837462, 'wind_standard_deviation': -0.20599417305272275}"
6,45.706,0,4.3,489.4645721,3359.031924,11804.05773,686.9820192,3359.031924,-81.75489478,47.95346554,2.909924376,"{'gross_weight': 49160.405338154516, 'diameter': 0.13062173854219455, 'launch_rod_length': 1.8959090129328824, 'launch_temperature': 281.4018160558936, 'wind_direction': -0.5807551991997557, 'wind_speed_average': 3.3404731722310377, 'wind_turbulence_intensity': -1.755455539011372, 'launch_rod_angle': -0.21293166478307166, 'launch_rod_direction': 1.5623779337953256, 'separation_delay_charge': -0.788726318604163, 'wind_standard_deviation': -1.544010852889944}"
7,46.355,0,4.3,496.4255755,1.77E-06,12043.57649,694.7975106,-6643.06395,-81.88940583,48.07038917,3.082764668,"{'gross_weight': 49164.26953342784, 'diameter': 0.13041262221783462, 'launch_rod_length': 1.9309571844575655, 'launch_temperature': 277.4154118012351, 'wind_direction': 2.440218269130334, 'wind_speed_average': 13.813532781576694, 'wind_turbulence_intensity': 2.3397399569126756, 'launch_rod_angle': -0.15261069966963714, 'launch_rod_direction': 1.5996635506075698, 'separation_delay_charge': -0.4331275047123929, 'wind_standard_deviation': -8.293389425513304}"
8,46.446,0,4.3,497.4621261,5851.126469,12108.31935,696.9248223,5851.126469,-81.72125308,48.0699954,-1.189909613,"{'gross_weight': 49163.14489393791, 'diameter': 0.13121316005487504, 'launch_rod_length': 1.566057007709275, 'launch_temperature': 280.2385298328456, 'wind_direction': 3.788297535539653, 'wind_speed_average': 12.501878324715122, 'wind_turbulence_intensity': 2.108539430848333, 'launch_rod_angle': -0.16852652689589687, 'launch_rod_direction': 1.6165783620097172, 'separation_delay_charge': -0.42318912456752295, 'wind_standard_deviation': -1.3275055471366293}"
9,46.49632812,0,4.3,498.8556926,6263.87787,12217.18357,704.280358,6263.87787,-81.71574811,48.03943252,4.607713365,"{'gross_weight': 49186.94131699294, 'diameter': 0.13114759097284692, 'launch_rod_length': 1.6657942222042927, 'launch_temperature': 296.8769160807247, 'wind_direction': -2.179012671212484, 'wind_speed_average': 8.801713793128862, 'wind_turbulence_intensity': 3.5977211911346463, 'launch_rod_angle': -0.18547747623192706, 'launch_rod_direction': 1.6111868866147683, 'separation_delay_charge': 0.01290333046278162, 'wind_standard_deviation': -5.2637968781590985}"
10,44.666,0,4.3,477.4599504,3690.654899,11389.39111,675.5639595,3690.654899,-81.75046331,47.93095498,0.047742522,"{'gross_weight': 49164.086804115075, 'diameter': 0.13045684285633113, 'launch_rod_length': 1.7070183643980679, 'launch_temperature': 291.02158148884763, 'wind_direction': -0.45214579890609574, 'wind_speed_average': 6.61396503881076, 'wind_turbulence_intensity': 0.6575938218212773, 'launch_rod_angle': -0.27783542236843367, 'launch_rod_direction': 1.705566910183541, 'separation_delay_charge': 0.2466221095095733, 'wind_standard_deviation': -0.3474569694517746}"
11,45.99632812,0,4.3,493.3308865,1.60E-06,11978.63071,695.4809952,-3959.976093,-81.85330349,48.07817936,-2.28519124,"{'gross_weight': 49184.78794419129, 'diameter': 0.13091666023522772, 'launch_rod_length': 1.8169929624562937, 'launch_temperature': 294.1778718895165, 'wind_direction': 2.7162287143462645, 'wind_speed_average': 11.000250368134237, 'wind_turbulence_intensity': -0.9425989816808579, 'launch_rod_angle': -0.22067575876576195, 'launch_rod_direction': 1.6037286278839, 'separation_delay_charge': 0.454623216237966, 'wind_standard_deviation': 0.7496297362795572}"
12,45.92678885,0,4.3,497.2620232,4945.153412,12030.85802,700.7923371,4945.153412,-81.73352516,48.0087122,-3.065011902,"{'gross_weight': 49165.13848718291, 'diameter': 0.1315192808781768, 'launch_rod_length': 1.8092810232338146, 'launch_temperature': 303.54076505553087, 'wind_direction': 4.521509734592479, 'wind_speed_average': 2.7918104435127655, 'wind_turbulence_intensity': 1.9638982498475115, 'launch_rod_angle': -0.15464601320232776, 'launch_rod_direction': 1.5752243400963748, 'separation_delay_charge': 0.12822781974652428, 'wind_standard_deviation': 4.338940196483991}"
13,45.656,0,4.3,488.730331,2.79E-06,11777.69528,687.0785443,-11728.82401,-81.95754269,47.96902247,-0.813355089,"{'gross_weight': 49186.550914131774, 'diameter': 0.13087928211167468, 'launch_rod_length': 1.9165292807704715, 'launch_temperature': 285.87030216443844, 'wind_direction': 1.2864567277653884, 'wind_speed_average': 15.571288338931181, 'wind_turbulence_intensity': 4.225017622634836, 'launch_rod_angle': -0.16240097448462687, 'launch_rod_direction': 1.5212415766999934, 'separation_delay_charge': 0.1689912992527646, 'wind_standard_deviation': 0.4219105410019629}"
14,45.53292479,0,4.3,503.2863111,5164.57858,11874.19058,694.3707137,5164.57858,-81.73070173,47.91476029,-0.134935772,"{'gross_weight': 49174.18153709835, 'diameter': 0.13059010230401907, 'launch_rod_length': 2.224246909039135, 'launch_temperature': 290.5261649696514, 'wind_direction': -0.5020836019897992, 'wind_speed_average': 14.756663947318184, 'wind_turbulence_intensity': 8.937346137853703, 'launch_rod_angle': -0.1856927642186907, 'launch_rod_direction': 1.5611215687062154, 'separation_delay_charge': -0.06679804056768726, 'wind_standard_deviation': 8.988820765303434}"
15,45.42632812,0,4.3,486.8199776,4537.894637,11734.08619,687.3767593,4537.894637,-81.73901969,47.9918045,2.665643314,"{'gross_weight': 49167.32001366638, 'diameter': 0.13040886364184265, 'launch_rod_length': 1.8438968083058191, 'launch_temperature': 290.94681983383566, 'wind_direction': 4.911144781882415, 'wind_speed_average': 0.05163569828623693, 'wind_turbulence_intensity': -2.655135916163591, 'launch_rod_angle': -0.18135700124847448, 'launch_rod_direction': 1.5788958813245257, 'separation_delay_charge': -0.20684094088359115, 'wind_standard_deviation': -6.254179161624888}"
