Run #,Apogee Time (s),Launch Time (s),Burnout Time (s),Ground Hit Time (s),Max X Position (m),Max Altitude (m),Max Velocity Z (m/s),Landing X Pos (m),Landing Lon (deg),Landing Lat (deg),Thrust Scale Factor,Random Parameters
0,30.43806250000248,0.0,7.254,280.82439125902243,2.159793676499584e-06,4753.146927425663,376.2869160264091,-5570.88709091909,-81.87493605804822,48.043007990257344,2.5464913072703688,"{'gross_weight': 18.762734140651972, 'diameter': 0.1312781233084892, 'launch_rod_length': 1.691528795139939, 'launch_temperature': 288.0166681068972, 'wind_direction': 2.2812228058507067, 'wind_speed_average': 10.570365609967444, 'wind_turbulence_intensity': -0.4306404274437394, 'launch_rod_angle': -0.15788982687929204, 'launch_rod_direction': 1.5319519338113372, 'separation_delay_charge': 0.018917424149850127, 'wind_standard_deviation': -4.773446794337559}"
1,32.92262500000229,0.0,7.254,319.1822067317967,4955.775948266688,5575.166995962836,416.414585925228,4955.775948266688,-81.7333502127085,48.03359063836973,1.5438506517628734,"{'gross_weight': 10.109929831787781, 'diameter': 0.1312118040377806, 'launch_rod_length': 1.952489199268717, 'launch_temperature': 280.1294594034797, 'wind_direction': 4.067519320080952, 'wind_speed_average': 9.75086401084289, 'wind_turbulence_intensity': -0.16774864382775453, 'launch_rod_angle': -0.2295571609214432, 'launch_rod_direction': 1.5566086798924474, 'separation_delay_charge': -0.0773284460839911, 'wind_standard_deviation': -0.8428125457781326}"
2,34.42532812500317,0.0,7.254,333.4716194847049,3.7159544699394777e-06,6074.646013452064,435.9797984939583,-3858.4576699636877,-81.85184515176692,47.986959808342505,0.9939081723813965,"{'gross_weight': 13.097948809754985, 'diameter': 0.130779311684766, 'launch_rod_length': 1.7150502020016312, 'launch_temperature': 307.8771477640837, 'wind_direction': 1.2115229391946762, 'wind_speed_average': 5.428185488984559, 'wind_turbulence_intensity': -3.1943193317320846, 'launch_rod_angle': -0.22394647136264556, 'launch_rod_direction': 1.516474685973669, 'separation_delay_charge': 0.41083723052666044, 'wind_standard_deviation': -4.563789112063506}"
3,34.87806250000215,0.0,7.254,340.41967588031207,1182.7435264189844,6214.892067547632,443.34661620225864,1182.7435264189844,-81.78410981785218,47.98029433042154,0.4274823321793737,"{'gross_weight': 14.8897811584522, 'diameter': 0.1300341924279168, 'launch_rod_length': 1.8186177720850765, 'launch_temperature': 302.980693400492, 'wind_direction': -0.5000930511824841, 'wind_speed_average': 4.2767999982773475, 'wind_turbulence_intensity': 1.389501681999311, 'launch_rod_angle': -0.12554871425599995, 'launch_rod_direction': 1.5705639530557995, 'separation_delay_charge': 0.23661672262828026, 'wind_standard_deviation': -0.3683524124808034}"
4,33.551400555894595,0.0,7.254,327.8573183632422,2232.6342196648884,5807.35945681514,426.37971902682426,2232.6342196648884,-81.77001564459266,47.96113313853521,1.5555867837346204,"{'gross_weight': 13.828626462657459, 'diameter': 0.1308046501254839, 'launch_rod_length': 2.0255466332216754, 'launch_temperature': 290.8868677608725, 'wind_direction': -0.4795446650028099, 'wind_speed_average': 6.39550474203656, 'wind_turbulence_intensity': -0.4871905494143552, 'launch_rod_angle': -0.22978227357126155, 'launch_rod_direction': 1.5163466352919428, 'separation_delay_charge': -0.2704248659360627, 'wind_standard_deviation': 2.8250881085167543}"
5,33.594000000002,0.0,7.254,330.2133884787773,2.412981138215117e-06,5802.69511094721,426.5058736168971,-1857.60890210654,-81.82495837292494,47.98310945481766,0.5594598616920072,"{'gross_weight': 7.878368186934267, 'diameter': 0.13074274913542414, 'launch_rod_length': 1.8811190343762743, 'launch_temperature': 277.5647539843456, 'wind_direction': 0.7769406253285517, 'wind_speed_average': -0.4119035285917221, 'wind_turbulence_intensity': -0.272747511403127, 'launch_rod_angle': -0.1923687991287084, 'launch_rod_direction': 1.5883675482993134, 'separation_delay_charge': -0.39623959832212363, 'wind_standard_deviation': -0.47295048137482437}"
6,32.21332509785607,0.0,7.254,322.12142249196353,1086.7762529397326,5372.092375692432,410.18637617694134,1086.7762529397326,-81.78540816701742,47.94835538246729,-0.5615998376780156,"{'gross_weight': 16.27273996883416, 'diameter': 0.13076400749113715, 'launch_rod_length': 1.8387827430529025, 'launch_temperature': 276.85065362274975, 'wind_direction': -0.18966008486249497, 'wind_speed_average': 7.473482753782692, 'wind_turbulence_intensity': -1.4104324947651081, 'launch_rod_angle': -0.2664995602137966, 'launch_rod_direction': 1.5499921785296111, 'separation_delay_charge': -0.40051273987441266, 'wind_standard_deviation': 7.327838853621228}"
7,33.645328125003324,0.0,7.254,331.76279869369546,3092.149056022877,5811.270442892221,427.7600574014369,3092.149056022877,-81.75841473777882,48.032635626916566,1.212663338250155,"{'gross_weight': 5.966550699226213, 'diameter': 0.13040017795128694, 'launch_rod_length': 2.1653916154620183, 'launch_temperature': 271.21318846127, 'wind_direction': 3.8487943097763226, 'wind_speed_average': 7.657479540135531, 'wind_turbulence_intensity': -3.2219939422784103, 'launch_rod_angle': -0.2216705635097596, 'launch_rod_direction': 1.4338827339214382, 'separation_delay_charge': -0.43469429779216, 'wind_standard_deviation': -2.772230806115357}"
8,3.5136744657695784,0.0,7.254,13.606966535972978,1.0132988828494344e-06,164.9727841035804,88.36813427421394,-42.98341222987327,-81.8005776840507,47.99826043184685,-0.8753821277755707,"{'gross_weight': 20.886555066330576, 'diameter': 0.13087850341788007, 'launch_rod_length': 2.0446544071227506, 'launch_temperature': 283.0142305366251, 'wind_direction': 0.21834912379069138, 'wind_speed_average': 13.094407460178157, 'wind_turbulence_intensity': 4.98811348609924, 'launch_rod_angle': -0.2680291164148085, 'launch_rod_direction': 1.5667681554115458, 'separation_delay_charge': -0.2032129727265889, 'wind_standard_deviation': 6.605246422655242}"
9,30.79330189611711,0.0,7.254,261.94764958072835,858.455872838144,4316.125049553045,347.3276760431821,-903.7702087727592,-81.8121497940443,48.01267958182619,4.826752778102768,"{'gross_weight': 12.072726279531851, 'diameter': 0.13004606092080542, 'launch_rod_length': 1.7885463808827717, 'launch_temperature': 290.4009993233296, 'wind_direction': 2.575363517904372, 'wind_speed_average': 14.521570907297068, 'wind_turbulence_intensity': -1.6458312098817984, 'launch_rod_angle': -0.20293716941385176, 'launch_rod_direction': 1.5504823426589065, 'separation_delay_charge': 0.08458608691441477, 'wind_standard_deviation': -0.7513038809143081}"
