Run #,Apogee Time (s),Launch Time (s),Burnout Time (s),Ground Hit Time (s),Max X Position (m),Max Altitude (m),Max Velocity Z (m/s),Landing X Pos (m),Landing Lon (deg),Landing Lat (deg),Thrust Scale Factor,Random Parameters
0,46.954999999999686,0.0,4.3,506.5787618738004,1.9000817244043894e-06,12390.02036536674,708.3882314237238,-3890.834889968561,-81.85234518325235,48.051011510939404,-1.8683366284911593,"{'gross_weight': 49172.03407118707, 'diameter': 0.1308445971270332, 'launch_rod_length': 1.7883485260224936, 'launch_temperature': 290.9463920427085, 'wind_direction': 2.544008930081968, 'wind_speed_average': 8.903774652058807, 'wind_turbulence_intensity': 3.3615620281388456, 'launch_rod_angle': -0.19000534845493075, 'launch_rod_direction': 1.7071756904261324, 'separation_delay_charge': -0.008679996944367736, 'wind_standard_deviation': 3.2976597448304914}"
1,47.07632812499964,0.0,4.3,504.814668147236,2.158516301636617e-06,12443.840054701182,710.8786757062278,-4533.511161846666,-81.86091655071831,47.987695680919465,1.6133231529818008,"{'gross_weight': 49174.9195297324, 'diameter': 0.1306293891455464, 'launch_rod_length': 1.9715737000827678, 'launch_temperature': 293.97351823652224, 'wind_direction': 1.2771775039935493, 'wind_speed_average': 5.305243019635877, 'wind_turbulence_intensity': 8.179925178304396, 'launch_rod_angle': -0.1250448501453757, 'launch_rod_direction': 1.6180183830564938, 'separation_delay_charge': 0.42782151794950574, 'wind_standard_deviation': -7.437205229343529}"
2,45.06632812500004,0.0,4.3,482.6663650912662,4512.67502821224,11533.850092626912,677.4836825929929,4512.67502821224,-81.73937984157155,47.973717205076426,0.8598490499052741,"{'gross_weight': 49172.03961768173, 'diameter': 0.13094297558598914, 'launch_rod_length': 1.823198540760317, 'launch_temperature': 282.12728929934934, 'wind_direction': 5.284908757978467, 'wind_speed_average': -1.1751385690996896, 'wind_turbulence_intensity': -1.3559765772431183, 'launch_rod_angle': -0.2136816430654036, 'launch_rod_direction': 1.6029422562956381, 'separation_delay_charge': -0.3604503140848207, 'wind_standard_deviation': -4.020738635610385}"
3,44.824424980402725,0.0,4.3,482.2329029933648,2.0131623871413496e-06,11514.031289135995,681.0563669611064,-3084.2661394673914,-81.84141669245783,47.95476009431198,2.8421622412178174,"{'gross_weight': 49175.119360407996, 'diameter': 0.1314517265960362, 'launch_rod_length': 1.8154024489237284, 'launch_temperature': 297.3243544102671, 'wind_direction': 0.5449994455514076, 'wind_speed_average': 1.335622301355853, 'wind_turbulence_intensity': -0.3047324338743242, 'launch_rod_angle': -0.2204418408705027, 'launch_rod_direction': 1.5912068585043495, 'separation_delay_charge': 0.6886352584412981, 'wind_standard_deviation': 3.9661753402042748}"
4,46.354999999999805,0.0,4.3,499.1755774357366,8002.50158617476,12178.886220360966,704.5304494449499,8002.50158617476,-81.69241646566243,48.01374884423038,0.24705788611896073,"{'gross_weight': 49183.76741870131, 'diameter': 0.13093340633312328, 'launch_rod_length': 1.775485156591454, 'launch_temperature': 302.5808927158827, 'wind_direction': 4.524944512316287, 'wind_speed_average': 9.295906130725546, 'wind_turbulence_intensity': 6.348925545582285, 'launch_rod_angle': -0.1926729458705866, 'launch_rod_direction': 1.5919719033769548, 'separation_delay_charge': -0.133122068505498, 'wind_standard_deviation': 3.4709120001805176}"
5,45.78599999999969,0.0,4.3,489.92900301463817,3.172173570140381e-06,11819.209528710693,689.1072495725474,-6315.861862833279,-81.88483291646429,47.96762095759413,6.080234863582035,"{'gross_weight': 49170.66568951964, 'diameter': 0.12993841072261847, 'launch_rod_length': 1.5351561990634122, 'launch_temperature': 279.591815363119, 'wind_direction': 1.0518110326513836, 'wind_speed_average': 7.1038031646618975, 'wind_turbulence_intensity': 6.818182201505089, 'launch_rod_angle': -0.206506774771213, 'launch_rod_direction': 1.4887830670911435, 'separation_delay_charge': -0.7231428046543869, 'wind_standard_deviation': -0.8487958985432843}"
6,44.89072066927538,0.0,4.3,495.76098094690616,2.2859777952415657e-07,11611.029000008646,686.8667279567491,-496.28777528358285,-81.80666055120028,47.9253722656557,0.8110152960319088,"{'gross_weight': 49175.85052660813, 'diameter': 0.13088482103977375, 'launch_rod_length': 1.5371068775640055, 'launch_temperature': 303.1829764011983, 'wind_direction': 0.054779067335553044, 'wind_speed_average': 7.398354874503258, 'wind_turbulence_intensity': 4.239642893411083, 'launch_rod_angle': -0.23840939387225962, 'launch_rod_direction': 1.5080963200775719, 'separation_delay_charge': -0.270093412573418, 'wind_standard_deviation': 9.48866539027062}"
7,44.55599999999993,0.0,4.3,476.1484516849942,5212.283224811273,11351.132670737461,674.9620655074732,5212.283224811273,-81.72981667123044,48.09510542677939,3.0156186658363096,"{'gross_weight': 49178.73820548525, 'diameter': 0.1310945842610366, 'launch_rod_length': 2.074149552453655, 'launch_temperature': 296.3278973584839, 'wind_direction': 3.6006713451114996, 'wind_speed_average': 13.061853435738755, 'wind_turbulence_intensity': 4.0248135280884805, 'launch_rod_angle': -0.3032665144738642, 'launch_rod_direction': 1.5750208203963485, 'separation_delay_charge': -0.08859617844200827, 'wind_standard_deviation': 0.9330676463790065}"
8,45.23632812500001,0.0,4.3,484.1537472371274,5205.284645830499,11705.259146900247,688.8522482806737,5205.284645830499,-81.73009502771733,47.959515195628136,-3.9835154693434403,"{'gross_weight': 49166.90902097206, 'diameter': 0.13057415224323035, 'launch_rod_length': 2.167831559822827, 'launch_temperature': 304.183535198004, 'wind_direction': -0.8604897244233491, 'wind_speed_average': 4.279647137615033, 'wind_turbulence_intensity': -5.361766373516577, 'launch_rod_angle': -0.23592309937484046, 'launch_rod_direction': 1.509379935896203, 'separation_delay_charge': -0.2935468199153223, 'wind_standard_deviation': -1.9431308920412105}"
9,46.54599999999954,0.0,4.3,498.89699471388553,6.757305519977334e-07,12157.195361771881,698.9443454911664,-1190.6229149746666,-81.81599003190897,47.96089068756865,3.609847336878742,"{'gross_weight': 49168.72041584246, 'diameter': 0.13039889980162475, 'launch_rod_length': 1.7103974123574281, 'launch_temperature': 280.33461398739456, 'wind_direction': 0.2586251064726637, 'wind_speed_average': 2.7519338863282, 'wind_turbulence_intensity': 0.5629181406899862, 'launch_rod_angle': -0.14713613551034924, 'launch_rod_direction': 1.4673545079774986, 'separation_delay_charge': 0.14516809432045874, 'wind_standard_deviation': -1.4393414321424298}"
